trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.9839899966115,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.22356243994035,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.28441541107279,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.4428903645488,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,14,-51.60956754645309,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.2838615052073,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.37949590203719,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.1987617734107,"{0: 9, 1: 6, 2: 5, 3: 4, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-266.9818342012824,"{0: 12, 1: 2, 2: 11, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.36185682814461,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.77584670095646,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.20834163286577,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.58249280983699,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,2,-102.66416589559546,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.81116361121977,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.47651999647746,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.09285910131896,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-326.57751524957257,"{0: 16, 1: 1, 2: 12, 3: 1, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.81594387933765,"{0: 11, 1: 5, 2: 6, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.53858183135433,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-7.325086307731675,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-223.642419671618,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-138.94062154581002,"{0: 25, 1: 0, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.26128202987322,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-191.7823742020589,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-28.013127082555794,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.04474026786448,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.73340920554745,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.7218760893285,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.25845600674043,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
