trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97}",25,0,-138.12567216525068,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9409}",25,2,-124.68143366146576,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.912673}",25,0,-98.92175627476061,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8852928099999999}",25,0,-115.63372262161276,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8587340256999999}",20,0,-78.66545264116162,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8329720049289999}",20,0,-29.63851055991734,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8079828447811299}",20,0,-158.723217900948,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.783743359437696}",20,0,-78.11793855090312,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.7602310586545651}",30,0,-209.0204953576988,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.7374241268949281}",25,0,-158.33454655363786,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.7153014030880802}",20,0,-132.3839204862397,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.6938423609954378}",25,0,-31.894683118105227,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.6730270901655747}",20,0,-66.47975616806363,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.6528362774606075}",20,0,-33.97475253732028,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.6332511891367892}",20,0,-88.75367492214673,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.6142536534626856}",20,0,-49.46973994462665,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.595826043858805}",20,0,-38.38171730366455,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.5779512625430409}",25,0,-113.3501875652691,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
