trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.5, 'e': 0.5606127246667496}",20,0,-123.1022148251488,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.5437943429267471}",25,0,-160.82359694480235,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.5274805126389447}",20,0,-109.53654577124266,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.5116560972597763}",20,0,-76.84402871244018,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.496306414341983}",25,9,-46.29095834882088,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.48141722191172354}",30,21,16.576085199912644,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.4669747052543718}",20,11,15.990972579059061,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.4529654640967406}",30,6,-41.43200249408804,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.4393765001738384}",20,0,9.165657446129822,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.42619520516862325}",30,0,2.125217825261907,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.4134093490135645}",25,0,-49.29620083463631,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.4010070685431576}",20,6,-11.59570097535303,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.38897685648686287}",20,0,-153.14734059717296,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.377307550792257}",30,0,-190.28752989546544,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 5}",0
33,False,"{'a': 0.5, 'e': 0.36598832426848926}",30,9,-26.198502039171686,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.35500867454043455}",35,21,8.473013522116972,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.3443584143042215}",25,0,-19.701261552191795,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.3340276618750948}",25,6,-0.7343120998803627,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.32400683201884195}",20,1,-68.4798041035485,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.3142866270582767}",25,0,-61.03956232622109,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.3048580282465284}",30,1,-7.151908354481842,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.2957122873991326}",30,5,-27.750693938742394,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.2868409187771586}",20,6,-80.90936580670778,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.27823569121384384}",25,0,-95.2563027121233,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.2698886204774285}",25,0,20.10086859318793,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.26179196186310566}",35,20,25.993158775526783,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.2539382030072125}",25,14,-55.0638117984016,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.2463200569169961}",20,0,-59.56834439050967,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.23893045520948622}",20,11,-8.197783243523224,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.23176254155320164}",30,11,-1.4887481231038677,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.2248096653066056}",20,0,-89.15685774883106,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.21806537534740741}",20,0,4.683393774183637,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.2115234140869852}",25,13,11.731918087585147,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.20517771166437562}",25,0,-4.6657713199339845,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.19902238031444436}",20,9,6.164195169975058,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.19305170890501103}",30,15,-65.65336294549539,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.1872601576378607}",20,9,-46.27028074848514,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.18164235290872485}",30,18,22.01618224772112,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.1761930823214631}",25,5,19.511090304167887,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.17090728985181922}",30,0,32.24539653632818,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.16578007115626464}",25,4,-36.49789393432781,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.1608066690215767}",20,12,14.57675440315479,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.1559824689509294}",20,0,-13.123820758293917,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.1513029948824015}",25,2,20.1002027525117,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.14676390503592945}",20,2,-92.58862968950673,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
64,False,"{'a': 0.5, 'e': 0.14236098788485158}",20,0,-99.38714375456723,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.13809015824830603}",30,0,-46.96794377808145,"{0: 24, 1: 4, 2: 0, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.13394745350085685}",20,4,21.846195999264253,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.12992902989583113}",20,5,-68.76440782726308,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.1260311589989562}",30,13,17.724208485909514,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.12225022422898751}",35,20,-15.244876352962631,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.11858271750211788}",20,0,17.94280818484416,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.11502523597705434}",25,4,31.950760961610417,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.1115744788977427}",20,6,23.701017874032676,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.10822724453081042}",20,0,11.120845815920577,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.10498042719488611}",30,19,4.136696613197597,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.10183101437903952}",20,7,19.280591501783615,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.09877608394766833}",30,0,-19.95460265057763,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.09581280142923829}",25,7,-54.8591254540995,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.09293841738636113}",20,0,25.141882711600235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.09015026486477029}",20,11,7.496933778305009,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.08744575691882718}",20,5,-16.30302573041594,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.08482238421126237}",30,0,16.77440178615332,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.0822777126849245}",20,14,10.895163708647436,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.07980938130437676}",20,9,8.430108853661894,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.07741509986524546}",25,19,12.812937083145528,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.0750926468692881}",20,2,30.613606032975422,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.07283986746320946}",25,1,0.745622302297785,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.07065467143931317}",25,17,-9.096169590529001,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.06853503129613378}",25,2,-14.425659720075151,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.06647898035724976}",20,12,17.352882273346573,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.06448461094653227}",25,7,-10.6850650517954,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.06255007261813629}",25,0,11.113385099119208,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.0606735704395922}",20,6,21.401092020280476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.05885336332640443}",25,12,19.49852804675756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.057087762426612294}",20,10,21.511488994951392,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.05537512955381393}",25,0,38.86175667872551,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.053713875667199505}",20,3,-28.419715455712275,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.05210245939718352}",20,8,-19.427743290998333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.05053938561526801}",25,15,17.8645416439049,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.049023204046809966}",30,0,2.8035926988508746,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.04755250792540567}",20,3,25.02914698044158,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.0461259326876435}",25,7,23.0566118294211,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.04474215470701419}",30,10,19.73148893970049,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.04339989006580376}",20,12,16.96573972806449,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.042097893363829644}",25,13,-17.163842593498064,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.040834956562914755}",20,10,-26.15700739192829,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.03960990786602731}",20,12,12.184557540822173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.03842161063004649}",30,12,-14.650021940376947,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.03726896231114509}",20,12,14.535852164155077,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.03615089344181074}",20,0,25.92105747419027,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.03506636663855641}",25,0,38.613833278811555,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.03401437563939972}",25,0,14.150103156143171,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.03299394437021773}",30,11,33.558191175644545,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.032004126039111194}",30,19,19.816648060470037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.031044002257937856}",20,5,-16.391763006011086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.03011268219019972}",20,1,29.884339318979748,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.029209301724493725}",25,13,23.96602916782008,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.028333022672758914}",20,0,22.218661683215608,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.027483031992576144}",25,6,28.78823573660921,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.026658541032798858}",25,3,39.5144495317276,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.02585878480181489}",20,8,25.923076049195107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.025083021257760445}",20,0,11.034448109228205,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.024330530620027633}",30,14,-20.520450091976315,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.023600614701426804}",20,0,23.839130314165395,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.022892596260384}",20,0,26.889238392779593,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.02220581837257248}",20,0,-14.474580741126472,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.021539643821395303}",20,10,18.84508622641132,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.020893454506753444}",20,9,17.437997849452326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.02026665087155084}",30,2,38.056347525264634,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.019658651345404312}",25,12,19.292231916927957,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.019068891805042183}",20,14,-11.077871729161828,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.018496825050890918}",20,8,23.661760500591015,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.01794192029936419}",25,0,37.1918548408849,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.017403662690383265}",30,8,28.373190191767907,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.016881552809671765}",30,0,-15.982273511732599,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.016375106225381613}",20,12,14.34677516966512,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.015883853038620166}",30,21,2.2213772724743293,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.015407337447461561}",20,11,19.877619700349367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.014945117324037714}",25,2,34.34890838796584,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.014496763804316583}",20,11,19.15143198670006,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.014061860890187084}",35,15,32.76964121359238,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.013640005063481472}",20,10,-23.213430093096207,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.013230804911577028}",25,0,24.47245607584499,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.012833880764229717}",25,13,22.99440067099267,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.012448864341302825}",20,15,9.043506319786973,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.01207539841106374}",25,9,20.942825320016336,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.011713136458731828}",20,11,14.82872673213678,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.011361742364969873}",20,0,27.12027760308815,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.011020890094020776}",30,8,29.494248441995822,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.010690263391200152}",30,0,45.91756525054006,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.010369555489464147}",20,13,9.64181246464259,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.010058468824780223}",20,11,16.613516058147727,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.009756714760036816}",20,1,26.603017562438477,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,12,41.70331025482102,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,4,-16.798860522574763,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,12,4.329057455437308,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,1,30.039079511332936,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,22.681382676488713,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,30.820241401707538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,7,27.34216502372138,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,3,42.68230437987992,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,16,14.998154131276117,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,18.586144232033387,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
