trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.45, 'e': 0.99}",20,0,-112.99545003188386,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.45, 'e': 0.9801}",20,0,-84.8556586927406,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.45, 'e': 0.9702989999999999}",20,0,-68.62510228873761,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.45, 'e': 0.96059601}",35,0,-201.68402049949697,"{0: 19, 1: 1, 2: 12, 3: 1, 4: 2}",0
5,False,"{'a': 0.45, 'e': 0.9509900498999999}",35,0,-257.0665820025513,"{0: 18, 1: 6, 2: 5, 3: 2, 4: 4}",0
6,False,"{'a': 0.45, 'e': 0.9414801494009999}",20,0,-82.66009650530194,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.45, 'e': 0.9320653479069899}",30,0,-146.44005464796953,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.45, 'e': 0.92274469442792}",20,0,-73.87820219367914,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.45, 'e': 0.9135172474836407}",20,0,-105.45099684754351,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.45, 'e': 0.9043820750088043}",25,0,-111.66341584967755,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.45, 'e': 0.8953382542587163}",20,0,-153.71944935090917,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.45, 'e': 0.8863848717161291}",20,0,-81.6217527404933,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.45, 'e': 0.8775210229989678}",30,0,-140.68293908095535,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.45, 'e': 0.8687458127689781}",30,0,-142.38983306600232,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
15,False,"{'a': 0.45, 'e': 0.8600583546412883}",30,0,-185.29290698091998,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.45, 'e': 0.8514577710948754}",25,0,-86.0357473635894,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.45, 'e': 0.8429431933839266}",20,0,-20.74607953049916,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.45, 'e': 0.8345137614500874}",20,0,-119.65538987574648,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
19,False,"{'a': 0.45, 'e': 0.8261686238355865}",20,0,-14.581198354400362,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.45, 'e': 0.8179069375972307}",30,0,-46.91831259568607,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.45, 'e': 0.8097278682212583}",25,0,-152.11328894758495,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
22,False,"{'a': 0.45, 'e': 0.8016305895390458}",20,0,-53.60649319999379,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.45, 'e': 0.7936142836436553}",35,0,-178.30466592199826,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
24,False,"{'a': 0.45, 'e': 0.7856781408072188}",35,0,-153.29900225919354,"{0: 26, 1: 1, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.45, 'e': 0.7778213593991465}",20,0,-32.034972780573824,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.45, 'e': 0.7700431458051551}",25,0,-71.86877598323844,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.45, 'e': 0.7623427143471035}",20,0,-43.25687730873795,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
28,False,"{'a': 0.45, 'e': 0.7547192872036325}",20,0,-72.99203351514849,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
29,False,"{'a': 0.45, 'e': 0.7471720943315961}",20,0,-156.06499559032682,"{0: 12, 1: 0, 2: 1, 3: 6, 4: 1}",0
30,False,"{'a': 0.45, 'e': 0.7397003733882802}",20,1,-99.67630104625046,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 1}",1
31,False,"{'a': 0.45, 'e': 0.7323033696543974}",20,0,-58.23128853986887,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
32,False,"{'a': 0.45, 'e': 0.7249803359578534}",20,0,-45.87133535966331,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.45, 'e': 0.7177305325982748}",25,0,-50.15465000961212,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.45, 'e': 0.7105532272722921}",30,4,-110.17131978514212,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 2}",1
35,False,"{'a': 0.45, 'e': 0.7034476949995692}",20,5,-101.23764652245096,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
36,False,"{'a': 0.45, 'e': 0.6964132180495735}",20,0,-70.35159786229234,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.45, 'e': 0.6894490858690777}",35,0,-124.82415736690751,"{0: 24, 1: 5, 2: 3, 3: 1, 4: 2}",0
38,False,"{'a': 0.45, 'e': 0.682554595010387}",20,0,-33.53126701939042,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.45, 'e': 0.6757290490602831}",20,0,-27.576411142423915,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
